"EAN NR.";"NSH Varenr.";"DB NR.";"Varebetegnelse DK";"Varebetegnelse SE";"Varebetegnelse FI";"Varebetegnelse UK"
"5705858723174";"101-004PC";"";"Pæl trykimp. Ø5 x 175 cm NTR-A";"Stolpe tryckimpregnerad Ø5 x 175 cm NTR-A";"Painekyllästetty tolppa, Ø 5 x 175 cm NTR-A";"Fence post pressure treated Ø5 x 175 cm NTR-A"
"5705858723198";"101-006PC";"";"Pæl trykimp. Ø5 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø5 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø5 x 200 cm NTR-A";"Fence post pressure treated Ø5 x 200 cm NTR-A"
"5705858723204";"101-008PC";"";"Pæl trykimp. Ø5 x 225 cm NTR-A";"Stolpe tryckimpregnerad Ø5 x 225 cm NTR-A";"Painekyllästetty tolppa, Ø 5 x 225 cm NTR-A";"Fence post pressure treated Ø5 x 225 cm NTR-A"
"5705858723211";"101-010PC";"";"Pæl trykimp. Ø6 x 125 cm NTR-A";"Stolpe tryckimpregnerad Ø6 x 125 cm NTR-A";"Painekyllästetty tolppa, Ø 6 x 125 cm NTR-A";"Fence post pressure treated Ø6 x 125 cm NTR-A"
"5705858723235";"101-012PC";"";"Pæl trykimp. Ø6 x 150 cm NTR-A";"Stolpe tryckimpregnerad Ø6 x 150 cm NTR-A";"Painekyllästetty tolppa, Ø 6 x 150 cm NTR-A";"Fence post pressure treated Ø6 x 150 cm NTR-A"
"5705858723259";"101-014PC";"";"Pæl trykimp. Ø6 x 175 cm NTR-A";"Stolpe tryckimpregnerad Ø6 x 175 cm NTR-A";"Painekyllästetty tolppa, Ø 6 x 175 cm NTR-A";"Fence post pressure treated Ø6 x 175 cm NTR-A"
"5705858723266";"101-016PC";"";"Pæl trykimp. Ø6 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø6 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø 6 x 200 cm NTR-A";"Fence post pressure treated Ø6 x 200 cm NTR-A"
"5705858723297";"101-022PC";"";"Pæl trykimp. Ø7 x 125 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 125 cm NTR-A";"Painekyllästetty tolppa, Ø 7 x 125 cm NTR-A";"Fence post pressure treated Ø7 x 125 cm NTR-A"
"5705858723303";"101-024PC";"";"Pæl trykimp. Ø7 x 150 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 150 cm NTR-A";"Painekyllästetty tolppa, Ø 7 x 150 cm NTR-A";"Fence post pressure treated Ø7 x 150 cm NTR-A"
"5705858723327";"101-026PC";"";"Pæl trykimp. Ø7 x 175 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 175 cm NTR-A";"Painekyllästetty tolppa, Ø7 x 175 cm NTR-A";"Fence post pressure treated Ø7 x 175 cm NTR-A"
"5705858723358";"101-028PC";"";"Pæl trykimp. Ø7 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø7 x 200 cm NTR-A";"Fence post pressure treated Ø7 x 200 cm NTR-A"
"5705858723372";"101-030PC";"";"Pæl trykimp. Ø7 x 225 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 225 cm NTR-A";"Painekyllästetty tolppa, Ø 7 x 225 cm NTR-A";"Fence post pressure treated Ø7 x 225 cm NTR-A"
"5705858723389";"101-032PC";"";"Pæl trykimp. Ø7 x 250 cm NTR-A";"Stolpe tryckimpregnerad Ø7 x 250 cm NTR-A";"Painekyllästetty tolppa, Ø 7 x 250 cm NTR-A";"Fence post pressure treated Ø7 x 250 cm NTR-A"
"5705858723402";"101-036PC";"";"Pæl trykimp. Ø8 x 150 cm NTR-A";"Stolpe tryckimpregnerad Ø8 x 150 cm NTR-A";"Painekyllästetty tolppa, Ø 8 x 150 cm NTR-A";"Fence post pressure treated Ø8 x 150 cm NTR-A"
"5705858723426";"101-038PC";"";"Pæl trykimp. Ø8 x 175 cm NTR-A";"Stolpe tryckimpregnerad Ø8 x 175 cm NTR-A";"Painekyllästetty tolppa, Ø 8 x 175 cm NTR-A";"Fence post pressure treated Ø8 x 175 cm NTR-A"
"5705858723457";"101-040PC";"";"Pæl trykimp. Ø8 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø8 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø 8 x 200 cm NTR-A";"Fence post pressure treated Ø8 x 200 cm NTR-A"
"5705858723471";"101-042PC";"";"Pæl trykimp. Ø8 x 250 cm NTR-A";"Stolpe tryckimpregnerad Ø8 x 250 cm NTR-A";"Painekyllästetty tolppa, Ø 8 x 250 cm NTR-A";"Fence post pressure treated Ø8 x 250 cm NTR-A"
"5705858723495";"101-043PC";"";"Pæl trykimp. Ø8 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø8 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 8 x 300 cm NTR-A";"Fence post pressure treated Ø8 x 300 cm NTR-A"
"5705858723501";"101-044PC";"";"Pæl trykimp. Ø10 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø10 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø 10 x 200 cm NTR-A";"Fence post pressure treated Ø10 x 200 cm NTR-A"
"5705858723525";"101-046PC";"";"Pæl trykimp. Ø10 x 250 cm NTR-A";"Stolpe tryckimpregnerad Ø10 x 250 cm NTR-A";"Painekyllästetty tolppa, Ø 10 x 250 cm NTR-A";"Fence post pressure treated Ø10 x 250 cm NTR-A"
"5705858723549";"101-048PC";"";"Pæl trykimp. Ø10 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø10 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 10 x 300 cm NTR-A";"Fence post pressure treated Ø10 x 300 cm NTR-A"
"5705858723563";"101-049PC";"";"Stolpe trykimp. Ø10 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø10 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 10 x 300 cm NTR-A";"Fence post pressure treated Ø10 x 300 cm NTR-A"
"5705858723587";"101-051PC";"";"Stolpe trykimp. Ø10 x 400 cm NTR-A";"Stolpe tryckimpregnerad Ø10 x 400 cm NTR-A";"Painekyllästetty tolppa, Ø 10 x 400 cm NTR-A";"Fence post pressure treated Ø10 x 400 cm NTR-A"
"5705858723600";"101-052PC";"";"Pæl trykimp. Ø14 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 200 cm NTR-A";"Fence post pressure treated Ø14 x 200 cm NTR-A"
"5705858723617";"101-055PC";"";"Stolpe trykimp. Ø14 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 300 cm NTR-A";"Fence post pressure treated Ø14 x 300 cm NTR-A"
"5705858723624";"101-056PC";"";"Pæl trykimp. Ø14 x 250 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 250 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 250 cm NTR-A";"Fence post pressure treated Ø14 x 250 cm NTR-A"
"5705858723631";"101-057PC";"";"Pæl trykimp. Ø14 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 300 cm NTR-A";"Fence post pressure treated Ø14 x 300 cm NTR-A"
"5705858723655";"101-059PC";"";"Stolpe trykimp. Ø14 x 350 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 350 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 350 cm NTR-A";"Fence post pressure treated Ø14 x 350 cm NTR-A"
"5705858036632";"101-060";"";"Stolpe trykimp. Ø14 x 400 cm NTR-A";"Stolpe tryckimpregnerad Ø14 x 400 cm NTR-A";"Painekyllästetty tolppa, Ø 14 x 400 cm NTR-A";"Fence post pressure treated Ø14 x 400 cm NTR-A"
"5705858723693";"101-062PC";"";"Pæl trykimp. Ø12 x 200 cm NTR-A";"Stolpe tryckimpregnerad Ø12 x 200 cm NTR-A";"Painekyllästetty tolppa, Ø 12 x 200 cm NTR-A";"Fence post pressure treated Ø12 x 200 cm NTR-A"
"5705858723709";"101-064PC";"";"Stolpe trykimp. Ø12 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø12 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 12 x 300 cm NTR-A";"Fence post pressure treated Ø12 x 300 cm NTR-A"
"5705858723716";"101-066PC";"";"Stolpe trykimp. Ø12 x 400 cm NTR-A";"Stolpe tryckimpregnerad Ø12 x 400 cm NTR-A";"Painekyllästetty tolppa, Ø 12 x 400 cm NTR-A";"Fence post pressure treated Ø12 x 400 cm NTR-A"
"5705858723723";"101-069PC";"";"Pæl trykimp. Ø12 x 250 cm NTR-A";"Stolpe tryckimpregnerad Ø12 x 250 cm NTR-A";"Painekyllästetty tolppa, Ø 12 x 250 cm NTR-A";"Fence post pressure treated Ø12 x 250 cm NTR-A"
"5705858723730";"101-070PC";"";"Stolpe trykimp. Ø16 x 300 cm NTR-A";"Stolpe tryckimpregnerad Ø16 x 300 cm NTR-A";"Painekyllästetty tolppa, Ø 16 x 300 cm NTR-A";"Fence post pressure treated Ø16 x 300 cm NTR-A"
"5705858723747";"101-071PC";"";"Stolpe trykimp. Ø16 x 400 cm NTR-A";"Stolpe tryckimpregnerad Ø16 x 400 cm NTR-A";"Painekyllästetty tolppa, Ø 16 x 400 cm NTR-A";"Fence post pressure treated Ø16 x 400 cm NTR-A"
"5705858723754";"101-075PC";"";"Stolpe trykimp. Ø18 x 400 cm NTR-A";"Stolpe tryckimpregnerad Ø18 x 400 cm NTR-A";"Painekyllästetty tolppa, Ø 18 x 400 cm NTR-A";"Fence post pressure treated Ø18 x 400 cm NTR-A"
"5705858014722";"101-086";"";"Afstandsholdere hardwood 90 cm";"Avståndshållare hardwood 90 cm";"Välikappale, massarandubaa, 90 cm:n aitaan";"Spacers for fence posts hardwood 90 cm"
"5705858014746";"101-087";"";"Pæl hardwood 135 cm";"Stolpe hardwood 135 cm";"Tolppa, massarandubaa, 1–2-lankaiseen 90 cm:n aitaan";"Fence post hardwood 135 cm"
"5705858014739";"101-088";"";"Pæl hardwood 145 cm";"Stolpe hardwood 145 cm";"Tolppa, massarandubaa, 1–5-lankaiseen 90 cm:n aitaan";"Fence post hardwood 145 cm"
"5707266003206";"101-120";"";"Kokille alutop, CAP 76 stolpehat";"Kokille aluminiumstolphätta, CAP 76";"Kokille –tolpanhattu CAP, alumiinia, matala malli";"Kokille aluminium post cap, CAP 76"
"5707266003305";"101-121";"";"Kokille alutop, CAP 92 stolpehat";"Kokille aluminiumstolphätta, CAP 92";"Kokille –tolpanhattu CAP, alumiinia, matala malli";"Kokille aluminium post cap, CAP 92"
"5707266003404";"101-122";"";"Kokille alutop, CAP 102 stolpehat";"Kokille aluminiumstolphätta, CAP 102";"Kokille –tolpanhattu CAP, alumiinia, matala malli";"Kokille aluminium post cap, CAP 102"
"5707266013205";"101-123";"";"Kokille sort alutop, CAP 76 stolpehat";"Kokille svart aluminiumstolphätta, CAP 76";"Kokille –tolpanhattu CAP, alumiinia, matala malli, musta";"Kokille black aluminium post cap, CAP 76"
"5707266013304";"101-124";"";"Kokille sort alutop, CAP 92 stolpehat";"Kokille svart aluminiumstolphätta, CAP 92";"Kokille –tolpanhattu CAP, alumiinia, matala malli, musta";"Kokille black aluminium post cap, CAP 92"
"5707266013403";"101-125";"";"Kokille sort alutop, CAP 102 stolpehat";"Kokille svart aluminiumstolphätta, CAP 102";"Kokille –tolpanhattu CAP, alumiinia, matala malli, musta";"Kokille black aluminium post cap, CAP 102"
"5707266023204";"101-126";"";"Kokille hvid alutop, CAP 76 stolpehat";"Kokille vit aluminiumstolphätta, CAP 76";"Kokille –tolpanhattu CAP, alumiinia, matala malli,valkoinen";"Kokille white aluminium post cap, CAP 76"
"5707266023303";"101-127";"";"Kokille hvid alutop, CAP 92 stolpehat";"Kokille vit aluminiumstolphätta, CAP 92";"Kokille –tolpanhattu CAP, alumiinia, matala malli,valkoinen";"Kokille white aluminium post cap, CAP 92"
"5707266023402";"101-128";"";"Kokille hvid alutop, CAP 102 stolpehat";"Kokille vit aluminiumstolphätta, CAP 102";"Kokille –tolpanhattu CAP, alumiinia, matala malli,valkoinen";"Kokille white aluminium post cap, CAP 102"
"5707266001103";"101-130";"";"Kokille alutop, PYRA 78 stolpehat";"Kokille aluminiumstolphätta, PYRA 78";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli";"Kokille aluminium post cap, PYRA 78"
"5707266001202";"101-131";"";"Kokille alutop, PYRA 94 stolpehat";"Kokille aluminiumstolphätta, PYRA 94";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli";"Kokille aluminium post cap, PYRA 94"
"5707266001301";"101-132";"";"Kokille alutop, PYRA 104 stolpehat";"Kokille aluminiumstolphätta, PYRA 104";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli";"Kokille aluminium post cap, PYRA 104"
"5707266001400";"101-133";"";"Kokille alutop, PYRA 130 stolpehat";"Kokille aluminiumstolphätta, PYRA 130";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli";"Kokille aluminium post cap, PYRA 130"
"5707266001509";"101-134";"";"Kokille alutop, PYRA 160 stolpehat";"Kokille aluminiumstolphätta, PYRA 160";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli";"Kokille aluminium post cap, PYRA 160"
"5707266011102";"101-135";"";"Kokille sort alutop, PYRA 78 stolpehat";"Kokille svart aluminiumstolphätta, PYRA 78";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, musta";"Kokille black aluminium post cap, PYRA 78"
"5707266021101";"101-136";"";"Kokille hvid alutop, PYRA 78 stolpehat";"Kokille vit aluminiumstolphätta, PYRA 78";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, valkoinen";"Kokille white aluminium post cap, PYRA 78"
"5707266011300";"101-137";"";"Kokille sort alutop, PYRA 104 stolpehat";"Kokille svart aluminiumstolphätta, PYRA 104";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, musta";"Kokille black aluminium post cap, PYRA 104"
"5707266021309";"101-138";"";"Kokille hvid alutop, PYRA 104 stolpehat";"Kokille vit aluminiumstolphätta, PYRA 104";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, valkoinen";"Kokille white aluminium post cap, PYRA 104"
"5707266011201";"101-139";"";"Kokille sort alutop, PYRA 94 stolpehat";"Kokille svart aluminiumstolphätta, PYRA 94";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, musta";"Kokille black aluminium post cap, PYRA 94"
"5707266001141";"101-145";"";"Kokille messingtop, PYRA 78, 2 stk stolpehat";"Kokille mässingstolphätta, PYRA 78, 2 st";"Kokille –tolpanhattu, messinkiä , PYRA korkea malli";"Kokille brass post cap, PYRA 78, 2 pcs"
"5707266001448";"101-148";"";"Kokille messingtop, PYRA 130, 2 stk stolpehat";"Kokille mässingstolphätta, PYRA 130, 2 st";"Kokille –tolpanhattu, messinkiä , PYRA korkea malli";"Kokille brass post cap, PYRA 130, 2 pcs"
"5707266021200";"101-149";"";"Kokille hvid alutop, PYRA 94 stolpehat";"Kokille vit aluminiumstolphätta, PYRA 94";"Kokille –tolpanhattu, alumiinia, PYRA korkea malli, valkoinen";"Kokille white aluminium post cap, PYRA 94"
"5707266002100";"101-150";"";"Kokille alutop, CONE 85 stolpehat";"Kokille aluminiumstolphätta, CONE 85";"Kokille –tolpanhattu, CONE alumiinia, kartio";"Kokille aluminium post cap, CONE 85"
"5707266002209";"101-151";"";"Kokille alutop, CONE 110 stolpehat";"Kokille aluminiumstolphätta, CONE 110";"Kokille –tolpanhattu, CONE alumiinia, kartio";"Kokille aluminium post cap, CONE 110"
"5707266002254";"101-152";"";"Kokille alutop, CONE 130 stolpehat";"Kokille aluminiumstolphätta, CONE 130";"Kokille –tolpanhattu, CONE alumiinia, kartio";"Kokille aluminium post cap, CONE 130"
"5707266002308";"101-153";"";"Kokille alutop, CONE 150 stolpehat";"Kokille aluminiumstolphätta, CONE 150";"Kokille –tolpanhattu, CONE alumiinia, kartio";"Kokille aluminium post cap, CONE 150"
"5707266002506";"101-154";"";"Kokille alutop, CONE 225 stolpehat";"Kokille aluminiumstolphätta, CONE 225";"Kokille –tolpanhattu, CONE alumiinia, kartio";"Kokille aluminium post cap, CONE 225"
"5705858028002";"101-160";"";"Stolpehat varmgalv. Ø100 mm";"Stolphätta varmgalvaniserad Ø100 mm";"Tolpanhattu, galv., Ø 100 mm";"Post cap galvanised Ø100 mm"
"5705858028019";"101-161";"";"Stolpehat varmgalv. Ø120 mm";"Stolphätta varmgalvaniserad Ø120 mm";"Tolpanhattu, galv., Ø 120 mm";"Post cap galvanised Ø120 mm"
"5705858028026";"101-162";"";"Stolpehat varmgalv. Ø140 mm";"Stolphätta varmgalvaniserad Ø140 mm";"Tolpanhattu, galv., Ø 140 mm";"Post cap galvanised Ø140 mm"
"5705858027869";"101-168";"";"Stolpehat sort 71 x 71 mm, med kugle";"Stolphätta svart 71 x71 mm, med kula";"Tolpanhattu, koristekuula, musta 71 x 71 mm";"Post cap black 71 x 71 mm, with ball"
"5705858027876";"101-169";"";"Stolpehat sort 91 x 91 mm, med kugle";"Stolphätta svart 91 x 91 mm, med kula";"Tolpanhattu, koristekuula, musta 91 x 91 mm";"Post cap black 91 x 91 mm, with ball"
"5705858027883";"101-170";"";"Stolpehat sort 75 x 75 mm, med kugle";"Stolphätta svart 75 x 75 mm, med kula";"Tolpanhattu, koristekuula, musta";"Post cap black 75 x 75 mm, with ball"
"5705858027890";"101-171";"";"Stolpehat sort 97 x 97 mm, med kugle";"Stolphätta svart 97 x 97 mm, med kula";"Tolpanhattu, koristekuula, musta";"Post cap black 97 x 97 mm, with ball"
"5705858027685";"101-173";"";"Stolpehat sort 71 x 71 mm";"Stolphätta svart 71 x 71 mm";"Tolpanhattu, musta, 71 x 71 mm";"Post cap black 71 x 71 mm"
"5705858027692";"101-174";"";"Stolpehat sort 91 x 91 mm";"Stolphätta svart 91 x 91 mm";"Tolpanhattu, musta, ruuvattava 91 x 91 mm";"Post cap black 91 x 91 mm"
"5705858027708";"101-175";"";"Stolpehat sort 75 x 75 mm";"Stolphätta svart 75 x 75 mm";"Tolpanhattu, musta, ruuvattava 75 x 75 mm";"Post cap black 75 x 75 mm"
"5705858027715";"101-176";"";"Stolpehat sort 97 x 97 mm";"Stolphätta svart 97 x 97 mm";"Tolpanhattu, musta, ruuvattava 97 x 97 mm";"Post cap black 97 x 97 mm"
"5705858027722";"101-177";"";"Stolpehat sort 101 x 101 mm";"Stolphätta svart 101 x 101 mm";"Tolpanhattu, musta, ruuvattava 101 x 101 mm";"Post cap black 101 x 101 mm"
"5705858018447";"101-178";"";"Stolpehat rustfri 71 x 71 mm";"Stolphätta rostfri 71 x 71 mm";"Tolpanhattu, ruostumaton, 71 x 71 mm";"Post cap stainless 71 x 71 mm"
"5705858018454";"101-179";"";"Stolpehat rustfri 91 x 91 mm";"Stolphätta rostfri 91 x 91 mm";"Tolpanhattu, ruostumaton, 91 x 91 mm";"Post cap stainless 91 x 91 mm"
"5705858018461";"101-180";"";"Stolpehat rustfri 75 x 75 mm";"Stolphätta rostfri 75 x 75 mm";"Tolpanhattu, ruostumaton, 75 x 75 mm";"Post cap stainless 75 x 75 mm"
"5705858018478";"101-181";"";"Stolpehat rustfri 97 x 97 mm";"Stolphätta rostfri 97 x 97 mm";"Tolpanhattu, ruostumaton, 97 x 97 mm";"Post cap stainless 97 x 97 mm"
"5705858018485";"101-182";"";"Stolpehat rustfri 101 x 101 mm";"Stolphätta rostfri 101 x 101 mm";"Tolpanhattu, ruostumaton, 101 x 101 mm";"Post cap stainless 101 x 101 mm"
"5705858080369";"101-184";"";"Stolpehat hvid 71 x 71 mm";"Stolphatt vit 71 x 71 mm";"Tolpanhattu valkoinen 71 x 71 mm";"Post cap white 71 x 71 mm"
"5705858080376";"101-185";"";"Stolpehat hvid 91 x 91 mm";"Stolphatt vit 91 x 91 mm";"Tolpanhattu valkoinen 91 x 91 mm";"Post cap white 91 x 91 cm"
"5705858015804";"101-189";"";"Stolpehat varmgalv. Ø71 mm";"Stolphätta varmgalvaniserad Ø71 mm";"Tolpanhattu, galv., Ø 71 mm";"Post cap galvanised Ø71 mm"
"5705858012674";"101-190";"";"Stolpehat varmgalv. 71 x 71 mm";"Stolphätta varmgalvaniserad 71 x 71 mm";"Tolpanhattu, galv., 71 x 71 mm";"Post cap galvanised 71 x 71 mm"
"5705858012681";"101-191";"";"Stolpehat varmgalv. 91 x 91 mm";"Stolphätta varmgalvaniserad 91 x 91 mm";"Tolpanhattu, galv., 91 x 91 mm";"Post cap galvanised 91 x 91 mm"
"5705858014067";"101-192";"";"Stolpehat varmgalv. 75 x 75 mm";"Stolphätta varmgalvaniserad 75 x 75 mm";"Tolpanhattu, galv., 75 x 75 mm";"Post cap galvanised 75 x 75 mm"
"5705858014074";"101-193";"";"Stolpehat varmgalv. 97 x 97 mm";"Stolphätta varmgalvaniserad 97 x 97 mm";"Tolpanhattu, galv., 97 x 97 mm";"Post cap galvanised 97 x 97 mm"
"5705858018546";"101-194";"";"Stolpehat varmgalv. 101 x 101 mm";"Stolphätta varmgalvaniserad 101 x 101 mm";"Tolpanhattu, galv., 101 x 101 mm";"Post cap galvanised 101 x 101 mm"
"5705858723815";"101-254PC";"";"Ubehandlet pæl Ø5 x 150 cm";"Obehandlad stolpe Ø5 x 150 cm";"Käsittelemätön tolppa Ø5 x 150 cm";"Untreated post Ø5 x 150 cm"
"5705858723822";"101-255PC";"";"Ubehandlet pæl Ø5 x 175 cm";"Obehandlad stolpe Ø5 x 175 cm";"Käsittelemätön tolppa Ø6 x 175 cm";"Untreated post Ø5 x 175 cm"
"5705858723839";"101-257PC";"";"Ubehandlet pæl Ø7 x 200 cm";"Obehandlad stolpe Ø7 x 200 cm";"﻿Käsittelemätön tolppa Ø7 x 200 cm";"Untreated post Ø7 x 200 cm"
"5705858723846";"101-258PC";"";"Bom ubehandlet ½-skåren, Ø7 x 200 cm";"Bjälke obehandlad ½-skuren Ø7 x 200 cm";"Käsittelemätön ½, Ø7 x 200 cm";"Rail untreated ½ cut, Ø7 x 200 cm"
"5705858723853";"101-265PC";"";"Pæl grundmalet sort Ø7 x 200 cm";"Stolpe grundmålad svart Ø7 x 200 cm";"Mustaksi petsattu tolppa Ø7 x 200 cm";"Post primed black Ø7 x 200 cm"
"5705858723877";"101-266PC";"";"Pæl grundmalet sort Ø7 x 250 cm";"Stolpe grundmålad svart Ø7 x 250 cm";"Mustaksi petsattu tolppa Ø7 x 250 cm";"Post primed black Ø7 x 250 cm"
"5705858723884";"101-278PC";"";"Bom trykimp., ½-skåren, Ø7 x 180 cm";"Bjälke tryckimpregnerad, ½-skuren, Ø7 x 180 cm";"Painekyll. vaakapuu, halkaistu 1/2, Ø 7 x 180 cm";"Rail impregnated, ½ cut, Ø7 x 180 cm"
"5705858017280";"101-280";"";"Bom trykimp., ½-skåren, Ø7 x 200 cm";"Bjälke tryckimpregnerad, ½-skuren, Ø7 x 200 cm";"Painekyll. vaakapuu, halkaistu 1/2, Ø 7 x 200 cm";"Rail impregnated, ½ cut, Ø7 x 200 cm"
